Name,Pos,sex,religion
Binte,2,2,1
Ibne,2,1,1
Syed,1,1,1
Ullah,3,1,1
Mir,1,1,1
Lashkar,3,1,1
Akhand,3,1,1
Begom,3,2,1
Mirza,1,1,1
Shah,3,1,1
Munshi,1,1,1
Dewan,3,1,1
Gazi,3,1,1
Kazi,1,1,1
Quazi,1,1,1
Kazi,1,1,1
Khan,1,3,1
Chowdhury,3,3,1
Sarker,3,3,1
Haldar,3,3,1
Joarder,3,3,1
Inamdar,3,3,1
Miah,3,3,1
Sarder,3,1,1
Chakladar,3,1,1
Howladar,3,1,1
Dihidar,3,1,1
Bhuiyan,3,3,1
Mustafi,3,1,1
Panni,3,3,1
Lohani,3,3,1
Bhottacharjyo,3,3,2
Bhottacharjo,3,3,2
Bhattcharjee,3,3,2
Bondyopadhyay,3,3,2
Banarjee,3,3,2
Bonik,3,3,2
Bagchi,3,3,2
Bishawas,3,3,2
Bhoumik,3,3,2
Bosu,3,3,2
Chokrobroti,3,3,2
Chakraborty,3,3,2
Chottopadhyay,3,3,2
Chatterjee,3,3,2
Chowdhury,3,3,2
Das,3,3,2
Debroy,3,3,2
Dey,3,3,2
Dotto,3,3,2
Datta,3,3,2
Dutta,3,3,2
Guho,3,3,2
Guha,3,3,2
Sen,3,3,2
Thakur,3,3,2
Chandan,3,3,2
Sorkar,3,3,2
Ray,3,3,2
Pal,3,3,2
Nath,3,3,2
Mitro,3,3,2
Mozumdar,3,3,2
Goswami,3,3,2
Gushami,3,3,2
Ghosh,3,3,2
Gupto,3,3,2
Gupta,3,3,2
Chakma,3,3,4
Mutsuddi,3,3,4
Patyoari,3,3,4
Murong,3,3,4
Ray,3,3,4
Pal,3,3,4
Mohather,3,3,4
Larma,3,3,4
Mutsuddy,3,3,4
Borua,3,3,4
Baruah,3,3,4
Bonik,3,3,4
Tonchongga,3,3,4
Gomej,3,3,3
Holms,3,3,3
Anthony,1,1,3
Robert,1,1,3
Diba,1,2,1
Dina,1,2,1
Dipa,1,2,1
Dipu,1,2,1
Disa,1,2,1
Diti,1,2,1
Diya,1,2,1
Diva,1,2,1
Disu,1,2,1
Doli,1,2,1
Debopriya,1,2,2
Deboshree,1,2,2
Debjyoti,1,2,2
Dev,1,1,2
Dipak,1,1,1
Dipta,1,1,1
Sudipta,1,1,2
Nousheen,1,2,1
Lamiya,1,2,1
Ananya,1,2,1
Hira,1,2,1
Zasaad,2,1,1
Shopnil,1,2,1
Sultana,1,2,1
Danny,1,1,3
Hayder,1,1,1
Rofiq,1,1,1
Jobbar,1,1,1
Borkot,1,1,1
Rahim,1,1,1
Durgesh,1,1,2
Dibbo,3,1,2
Debashish,1,1,2
Roy,3,3,2
Kollol,1,1,1
Ogni,3,1,2
Raoha,1,1,1
Aurangajeb,3,1,2
Rifat,1,1,1
Fazlerabbi,1,1,1
Sadika,1,2,1
Jesmin,2,2,1
